City ID,City,Country,Date,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Wind Speed (mph)
3924679,Vilhena,BR,1605227092,-12.74,-60.15,78.80000000000001,74,0,4.69749
5880054,Barrow,US,1605226994,71.29,-156.79,10.399999999999999,78,90,10.289739999999998
5983720,Iqaluit,CA,1605227092,63.75,-68.51,17.6,67,75,3.3553499999999996
3430863,Mar del Plata,AR,1605227092,-38.0,-57.56,64.99400000000009,77,0,14.98723
3899695,Ancud,CL,1605227093,-41.87,-73.82,53.99600000000005,66,90,5.81594
4032243,Vaini,TO,1605227093,-21.2,-175.2,82.4,83,20,10.289739999999998
2075265,Busselton,AU,1605227093,-33.65,115.33,62.00600000000003,79,34,6.554117
5882953,Aklavik,CA,1605227093,68.22,-135.01,6.800000000000001,77,90,9.171289999999999
6180550,Whitehorse,CA,1605227093,60.72,-135.05,24.8,85,40,14.98723
4030556,Rikitea,PF,1605227093,-23.12,-134.97,74.40800000000002,74,99,15.859620999999999
3372707,Ribeira Grande,PT,1605227093,38.52,-28.7,63.28399999999999,79,2,2.5500659999999997
5855927,Hilo,US,1605226834,19.73,-155.09,82.4,61,75,11.40819
2208248,Kaitangata,NZ,1605227093,-46.28,169.85,69.09800000000003,47,46,3.467195
1490085,Tarko-Sale,RU,1605227093,64.92,77.78,-3.9999999999999503,84,93,9.216028
1633419,Padang,ID,1605227093,-0.95,100.35,78.54800000000003,77,96,5.033024999999999
2110227,Butaritari,KI,1605227094,3.07,172.79,80.816,76,98,12.101628999999999
5969025,Haines Junction,CA,1605227094,60.75,-137.51,24.8,73,95,2.2369
2176639,Batemans Bay,AU,1605226891,-35.72,150.18,73.00400000000005,69,83,5.010656
1495626,Pangody,RU,1605227094,65.85,74.49,-5.331999999999965,91,81,8.008102
2017155,Saskylakh,RU,1605227094,71.92,114.08,-11.235999999999969,89,53,0.9618669999999999
546105,Nikolskoye,RU,1605227094,59.7,30.79,39.00200000000008,86,40,2.2369
3652764,Puerto Ayora,EC,1605227094,-0.74,-90.35,66.99199999999999,96,76,1.9908409999999999
3418910,Upernavik,GL,1605227094,72.79,-56.15,14.0,91,100,28.811272
3833367,Ushuaia,AR,1605226861,-54.8,-68.3,57.2,41,40,14.98723
2063036,Port Lincoln,AU,1605226809,-34.73,135.87,57.92000000000006,63,64,12.213474
2630299,Hofn,IS,1605227094,64.25,-15.21,44.61800000000009,80,89,6.979128
6201424,Mataura,NZ,1605227095,-46.19,168.86,74.93000000000004,23,12,7.583091
